transaction_id,member_id,isbn,checkout_date,return_date,branch_id
TXN000095,M62386,978-0-219-69379-8,2024-01-26,2024-01-27,BR014
TXN000096,M25118,978-1-74074-821-6,2024-08-31,2024-09-09,BR005
TXN000097,M15014,978-1-64743-671-1,04/04/2024,2024-04-30,BR007
TXN000098,M51114,978-1-4064-0909-3,10/04/2025,2025-05-09,BR009
TXN000099,M85574,978-0-9533942-1-0,2025-08-04,2025-08-05,BR001
TXN000100,M78146,978-1-70952-145-4,12/04/2025,2025-05-06,BR009
TXN000101,M97900,978-0-285-88424-3,2025-08-12,,BR007
TXN000102,M97062,978-1-5171-2368-0,07/07/2024,2024-08-04,BR010
TXN000103,M26334,978-0-481-75496-8,2025-06-06,2025-06-28,BR005
TXN000104,M63528,978-0-370-98593-0,2025-01-29,2025-02-03,BR012
TXN000105,M35144,978-1-61200-471-6,2023-12-24,2024-01-22,BR007
TXN000106,M32810,978-1-75869-261-7,2025-06-14,2025-07-11,BR005
TXN000107,M10053,978-1-05-377351-6,2025-09-30,2025-10-19,BR004
TXN000108,M89516,978-1-06-431713-6,2025-01-25,2025-02-16,BR008
TXN000109,M38010,978-0-532-93183-6,2024-12-15,2025-01-10,BR013
TXN000110,M32241,978-1-290-42284-0,2025-05-19,2025-06-09,BR005
TXN000111,M91167,978-0-205-39502-6,2024-04-24,2024-05-02,BR014
TXN000112,M98184,978-1-81177-589-9,2024-01-01,2024-01-02,BR013
TXN000113,M16057,978-0-8470-0766-0,2025-02-26,2025-03-23,BR008
TXN000114,M19545,978-1-115-92124-4,12/01/2025,2025-01-19,BR015
TXN000115,M60328,978-1-9847-8961-7,2025-05-15,2025-06-07,BR004
TXN000116,M10726,978-0-673-65766-4,2025-03-30,2025-04-03,BR014
TXN000117,M65724,978-1-5452-7111-7,21/12/2023,2024-01-07,BR013
TXN000118,M70889,978-1-280-98851-6,2024-08-09,2024-08-13,BR004
TXN000119,M69829,978-0-494-51983-7,2024-02-04,2024-02-22,BR008
TXN000120,,978-0-15-851493-2,2025-05-26,2025-06-15,BR013
TXN000121,M76162,978-1-02-445502-1,2025-07-10,2025-08-08,BR015
TXN000122,,978-0-201-83667-7,2024-06-19,2024-07-14,BR008
TXN000123,M42406,978-1-59910-229-0,2023-11-19,2023-12-06,BR005
TXN000124,M73517,978-1-76797-643-2,2025-04-17,2025-05-10,BR005
TXN000125,M47450,978-1-61497-840-4,2024-03-23,2024-04-10,BR006
TXN000126,M20561,978-0-343-24451-4,2023-10-19,2023-10-24,  BR004 
TXN000127,M38043,978-0-268-38851-5,2024-07-30,2024-08-14,BR007
TXN000128,M64496,978-1-07-159696-8,2025-03-15,2025-04-13,BR014
TXN000129,M86556,978-1-160-52975-4,2023-12-17,2024-01-11,BR001
TXN000130,M85456,978-0-696-81645-1,2024-03-23,2024-04-02,  BR001 
TXN000131,M61116,978-0-8188-3552-0,2024-04-03,2024-04-27,BR014
TXN000132,M81582,978-1-329-21277-0,2025-04-17,2025-04-25,BR015
TXN000133,M45774,978-1-5271-7744-4,2024-12-19,2025-01-10,BR001
TXN000134,M99016,978-0-477-00541-8,2025-01-27,2025-02-11,BR012
TXN000135,M26728,978-1-79807-935-5,2024-12-29,,BR009
TXN000136,M61645,978-0-7151-8203-1,2025-03-14,,BR011
TXN000137,M94246,978-0-554-66590-0,2025-05-12,2025-05-14,BR014
TXN000138,M44099,978-0-518-64492-7,06/13/2024,2024-06-24,BR004
TXN000139,M59692,978-1-4629-1486-9,2025-01-26,2025-02-22,  BR014 
TXN000140,M20735,978-0-8168-5054-9,2024-02-22,2024-03-05,BR012
TXN000141,M39389,978-1-7332214-1-2,2024-10-19,2024-10-21,BR013
TXN000142,M14067,978-1-929622-29-0,2025-05-27,2025-06-16,BR004
TXN000143,M29973,978-1-06-537947-8,2024-04-02,2024-04-21,BR008
TXN000144,M38569,978-1-7359774-6-1,2024-10-15,2024-10-21,BR005
TXN000145,M89415,978-0-392-40758-8,2025-08-26,2025-09-20,BR012
TXN000146,M31465,978-1-124-78261-4,2025-09-04,2025-10-04,BR002
TXN000147,M50888,978-1-5060-6853-4,2024-07-22,2024-08-04,BR015
TXN000148,M35995,978-1-305-15220-5,2024-05-10,2024-05-18,BR012
TXN000149,M23356,978-0-7790-1043-1,2025-06-15,2025-07-05,BR005
TXN000150,M25866,978-0-434-10369-0,2024-09-12,2024-09-24,BR010
TXN000151,M79827,978-1-9808-9324-0,2024-08-22,,BR006
TXN000152,M94874,978-0-9621851-8-2,2024-11-14,2024-11-30,BR014
TXN000153,M23833,978-1-70654-051-9,2024-06-22,2024-07-19,BR006
TXN000154,M70258,978-1-205-85277-9,2025-01-17,2025-02-03,  BR007 
TXN000155,M95256,978-0-7043-0305-8,2025-08-26,2025-09-20,BR013
TXN000156,M73372,978-1-4034-5054-8,2024-01-12,2024-01-21,BR014
TXN000157,M52245,978-1-67652-775-6,2025-08-19,2025-08-28,BR014
TXN000158,M69087,978-0-616-92845-5,2023-12-27,2024-01-18,BR008
TXN000159,M59674,978-1-4796-2757-8,2023-11-13,2023-11-19,BR008
TXN000160,M73904,978-1-4016-5820-5,2024-01-26,2024-02-04,BR013
TXN000161,M88139,978-0-213-55690-7,29/12/2024,2025-01-15,BR005
TXN000162,M35042,978-1-57192-856-6,2024-05-30,2024-06-17,BR012
TXN000163,,978-0-10-278681-1,22/04/2024,2024-05-07,BR011
TXN000164,M12260,978-1-394-73121-3,2024-09-08,2024-09-16,BR004
TXN000165,M50135,978-0-551-88442-7,2025-03-17,2025-04-03,BR006
TXN000166,M55056,978-1-83132-370-4,2024-07-03,2024-07-15,BR012
TXN000167,M69473,978-1-82911-467-3,2024-11-01,2024-11-25,BR005
TXN000168,M35242,978-0-251-77852-1,2025-07-16,2025-08-10,BR012
TXN000169,M34267,978-0-680-18242-5,02/09/2024,2024-03-04,BR012
TXN000170,M87278,978-1-84143-842-9,2025-01-12,2025-01-16,BR009
TXN000171,M35443,978-0-9922995-9-0,2023-11-13,2023-11-14,BR006
TXN000172,M80010,978-0-09-439690-6,2024-10-12,2024-10-30,BR001
TXN000173,M48290,978-1-7364710-2-9,2024-08-30,2024-09-24,BR003
TXN000174,M74340,978-1-359-25556-3,01/17/2024,2024-02-02,BR001
TXN000175,M72746,978-0-537-14732-4,2023-12-23,2024-01-01,BR003
TXN000176,M72616,978-1-963259-53-7,2025-04-23,2025-04-26,BR002
TXN000177,M85631,978-1-74701-687-5,19/09/2025,2025-10-15,BR001
TXN000178,M83772,978-1-00-479748-6,2023-10-19,2023-10-23,BR002
TXN000179,M83147,978-1-245-65060-1,2024-12-03,2024-12-23,BR010
TXN000180,M39581,978-1-84168-784-1,2025-06-08,2025-06-23,BR007
TXN000181,M48974,978-0-16-558523-9,2024-12-27,2025-01-16,BR007
TXN000182,M17894,978-0-00-257872-1,2024-12-30,,BR012
TXN000183,M37235,978-1-952694-95-0,2024-10-18,2024-10-24,BR005
TXN000184,M41439,978-1-70551-694-2,2025-05-18,2025-06-01,BR002
TXN000185,M69048,978-1-4993-0972-0,10/31/2024,2024-11-08,BR008
TXN000186,M47762,978-0-309-13075-2,2024-08-15,2024-08-18,BR012
TXN000187,M40595,978-0-689-70283-9,2024-11-27,2024-12-16,BR013
TXN000188,M96662,978-1-5278-5854-1,2025-01-01,2025-01-19,BR004
TXN000189,M39466,978-0-484-34437-1,01/06/2024,2024-06-06,BR015
TXN000190,M19359,978-1-4198-6652-4,2024-05-13,2024-06-06,BR013
TXN000191,M84607,978-0-574-73384-9,2025-08-26,2025-09-18,BR008
TXN000192,M49857,978-0-19-933083-6,2025-01-22,2025-02-07,BR005
TXN000193,,978-0-657-12082-5,2024-08-06,2024-08-30,BR001
TXN000194,M52247,978-1-345-40193-6,2024-11-08,,BR001
TXN000195,M98381,978-0-620-67240-5,2023-10-20,2023-10-21,BR010
TXN000196,M98117,978-1-4788-7287-0,2024-04-30,,BR010
TXN000197,M32962,978-1-274-20549-0,2025-02-17,2025-02-26,BR011
TXN000198,M33788,978-0-9668516-1-8,2024-02-26,2024-03-13,BR007
TXN000199,M21959,978-1-5304-6374-9,2025-09-10,2025-10-02,BR007
TXN000200,M23710,978-0-453-01742-8,2024-08-05,2024-08-21,BR006
TXN000201,M47777,978-0-459-33272-3,2024-09-10,2024-09-28,BR007
TXN000202,M14809,978-1-878339-18-8,2024-09-04,2024-09-08,BR006
TXN000203,M62976,978-0-910883-98-6,2024-01-31,2024-02-22,BR014
TXN000204,M81118,978-1-139-71870-7,09/09/2024,2024-09-21,BR001
TXN000205,M91609,978-1-908740-64-9,2025-06-01,2025-06-03,BR011
TXN000206,M36680,978-0-06-518017-6,2023-11-06,2023-11-21,BR003
TXN000207,M73532,978-0-265-67661-5,2025-02-24,2025-03-04,BR011
TXN000208,M30758,978-1-128-68230-9,2025-04-18,2025-04-21,BR001
TXN000209,M39451,978-1-86863-375-3,2024-02-04,2024-02-08,BR015
TXN000210,M94896,978-0-06-903311-9,2024-12-21,2024-12-31,BR008
TXN000211,M76698,978-0-306-73830-2,2024-01-24,2024-02-09,BR007
TXN000212,M41946,978-0-9599534-2-8,03/10/2025,2025-11-02,BR003
TXN000213,M88561,978-1-4408-9268-4,2024-10-10,2024-10-13,BR015
TXN000214,M46208,978-1-85662-462-6,2025-04-17,2025-05-17,BR014
TXN000215,M76550,978-0-342-70866-6,2024-11-24,2024-12-04,BR001
TXN000216,M86931,978-1-343-51751-6,2024-11-08,2024-11-13,BR011
TXN000217,M68529,978-0-469-90139-1,2025-03-26,2025-04-20,BR006
TXN000218,M81228,978-1-354-03317-3,2025-08-12,2025-08-19,BR015
TXN000219,M41300,978-1-385-46785-5,2024-05-26,2024-06-09,BR004
TXN000220,M15720,978-1-71753-556-6,2023-11-16,2023-12-12,BR008
TXN000221,M59968,978-0-04-899642-8,2024-03-05,2024-03-26,BR011
TXN000222,M29936,978-1-937854-77-5,2024-09-14,2024-10-03,BR001
TXN000223,M53515,978-0-287-28080-7,2025-06-18,2025-06-22,  BR014 
TXN000224,M78937,978-0-06-231203-7,2024-10-17,2024-10-31,BR001
TXN000225,M95823,978-0-9977008-8-6,2024-08-09,2024-08-18,BR002
TXN000226,M54375,978-1-84086-211-9,2024-10-31,2024-11-28,BR007
TXN000227,M53065,978-0-9845461-5-2,2025-09-14,2025-09-25,BR014
TXN000228,M92155,978-0-341-01666-3,2024-11-21,2024-12-09,BR013
TXN000229,M14705,978-0-217-65918-5,2025-08-15,2025-09-14,BR004
TXN000230,M47667,978-0-9740148-9-0,02/06/2025,,BR012
TXN000231,M22903,978-1-03-926142-6,2024-11-29,2024-12-14,BR012
TXN000232,M31805,978-1-62185-016-8,2024-03-31,,BR015
TXN000233,M52516,978-1-9996504-7-6,2024-10-06,2024-10-20,BR005
TXN000234,M29080,978-1-62961-943-9,2025-03-18,2025-04-13,BR007
TXN000235,M33600,978-1-262-65511-5,2023-10-17,2023-10-30,BR002
TXN000236,M91226,978-1-5412-1267-1,2024-11-24,2024-11-29,BR008
TXN000237,M40433,978-0-01-581995-8,2025-07-06,2025-07-28,BR005
TXN000238,M11231,978-1-66183-982-6,2025-02-25,2025-03-19,BR008
TXN000239,M81643,978-0-444-72126-6,2024-05-02,2024-05-21,BR008
TXN000240,M49210,978-1-154-37993-8,2024-09-12,2024-09-27,BR007
TXN000241,M49599,978-1-06-596575-6,2024-08-23,2024-08-27,BR007
TXN000242,M41091,978-1-59375-265-1,2024-05-14,2024-06-06,BR006
TXN000243,M48696,,03/05/2025,2025-03-14,BR014
TXN000244,M11061,978-0-564-65193-1,2024-12-19,2024-12-21,BR011
TXN000245,M89482,978-0-7374-1672-5,18/01/2025,2025-01-28,BR014
TXN000246,M40162,978-1-266-17979-2,2024-08-01,2024-08-08,BR006
TXN000247,M91381,978-0-589-11352-0,2025-01-28,2025-02-19,BR013
TXN000248,M99241,978-1-56101-438-5,2025-04-11,,BR011
TXN000249,M92242,978-1-56798-250-3,2024-09-30,2024-10-02,BR005
TXN000250,M85965,978-1-112-54573-3,2024-10-28,,BR003
TXN000251,M48680,978-1-177-51401-9,2023-10-30,2023-11-04,BR007
TXN000252,M80701,978-0-238-28258-4,2024-08-20,2024-09-19,BR006
TXN000253,M45720,978-0-622-66093-6,2024-09-06,2024-09-22,BR005
TXN000254,M48684,978-1-03-341918-2,2024-02-27,2024-03-13,BR006
TXN000255,M19869,978-0-7147-8596-7,01/02/2025,2025-01-26,BR004
TXN000256,M98395,978-1-57924-991-5,2025-02-16,2025-02-28,BR014
TXN000257,,978-0-341-25286-3,2024-08-14,2024-08-18,BR001
TXN000258,M69609,978-1-62782-827-7,2024-05-12,2024-05-31,BR012
TXN000259,M59941,978-1-79050-723-8,2025-05-31,2025-06-08,BR006
TXN000260,M71797,,17/09/2025,2025-09-28,BR015
TXN000261,M89964,978-1-76772-190-2,2025-05-17,2025-06-01,BR002
TXN000262,M49608,978-1-04-384279-6,2025-04-08,2025-04-10,BR002
TXN000263,M49893,978-0-914858-07-2,2024-11-16,,BR002
TXN000264,M80457,978-0-340-74517-5,2025-07-07,2025-07-31,BR008
TXN000265,M80804,978-0-395-96292-3,2025-05-09,2025-06-07,BR012
TXN000266,M64379,978-0-9584982-5-8,2025-09-28,2025-10-12,BR014
TXN000267,M46666,,2024-05-14,2024-05-29,BR006
TXN000268,M40947,978-0-260-42232-3,2025-03-17,2025-03-29,BR002
TXN000269,M81364,978-1-72946-671-1,2025-01-19,2025-02-01,BR011
TXN000270,M46160,978-1-84577-590-2,2025-07-10,2025-08-06,BR002
TXN000271,M69600,978-1-5186-3637-0,2024-04-27,2024-05-17,BR004
TXN000272,M12799,978-1-892975-00-3,2023-12-25,2023-12-30,BR006
TXN000273,M84000,978-0-12-770632-0,2025-07-19,2025-07-26,BR014
TXN000274,M86858,978-0-415-41520-0,2024-07-29,2024-08-23,BR014
TXN000275,M29340,978-0-611-03712-1,2024-12-20,,BR010
TXN000276,M28964,978-0-05-162713-5,2024-07-20,2024-07-26,BR009
TXN000277,M24408,978-0-554-26221-5,2024-11-04,2024-11-16,BR001
TXN000278,M41186,978-0-7532-6973-2,2023-12-16,2023-12-18,BR001
TXN000279,M26614,978-0-19-656523-1,2024-05-03,2024-05-06,BR009
TXN000280,M72422,978-0-89994-043-4,2024-10-26,2024-10-30,BR006
TXN000281,M69245,978-1-4037-6137-8,2025-01-22,,BR010
TXN000282,M96363,978-0-552-69658-6,2025-02-24,2025-02-25,BR008
TXN000283,M17972,978-0-09-104300-1,06/09/2025,2025-09-28,BR014
TXN000284,M24150,978-1-86661-889-9,2024-02-02,2024-03-02,BR015
TXN000285,M20589,978-1-183-28569-9,19/01/2025,,BR003
TXN000286,M46046,978-1-63031-617-4,03/01/2025,2025-01-14,BR010
TXN000287,M59925,978-1-210-20275-0,10/30/2024,2024-11-16,BR009
TXN000288,M89354,978-0-524-10564-1,2024-10-30,2024-11-27,BR013
TXN000289,M95814,978-0-7785-0792-5,2024-07-08,2024-08-05,BR013
TXN000290,M38183,978-0-913800-03-4,11/16/2023,2023-11-27,BR015
TXN000291,M69441,978-1-220-86353-8,2024-08-13,,BR012
TXN000292,M65936,978-1-195-18023-4,2025-05-23,2025-05-28,BR005
TXN000293,M72163,978-1-174-45187-4,2023-10-19,,BR014
TXN000294,M66606,978-1-949375-97-8,2025-10-12,2025-10-17,BR012
TXN000295,M82924,978-0-206-03850-2,2025-09-08,2025-09-30,BR009
TXN000296,M26021,978-1-4138-3670-7,2025-09-23,2025-10-18,BR014
TXN000297,M65435,978-1-103-86571-0,2024-12-11,,BR012
TXN000298,M47700,978-1-199-06234-5,2024-04-21,2024-05-08,BR006
TXN000299,M37884,978-1-55743-132-5,2025-05-06,2025-05-10,BR008
TXN000300,M55890,978-0-12-775618-9,2024-07-01,2024-07-10,  BR006 
TXN000301,M85248,978-1-4741-1249-9,2023-11-12,2023-12-07,BR007
TXN000302,M91490,978-0-13-568044-5,06/04/2025,2025-06-24,BR011
TXN000303,M96223,978-0-678-83171-7,2025-05-23,,BR005
TXN000304,M45818,978-0-00-323651-4,2024-12-12,2024-12-24,BR005
TXN000305,M10800,978-0-01-372151-2,2023-11-14,2023-11-27,BR003
TXN000306,M19120,978-0-296-67066-8,02/17/2024,2024-02-20,BR011
TXN000307,M79531,978-0-447-20999-0,2024-04-10,2024-04-16,BR007
TXN000308,M58503,978-1-68701-462-7,2024-08-15,2024-09-03,BR006
TXN000309,M88148,978-0-657-87598-5,2024-06-05,2024-06-30,BR001
TXN000310,M90981,,2024-04-28,2024-05-20,BR002
TXN000311,,978-1-930407-85-5,2025-04-26,2025-05-03,BR008
TXN000312,M77154,978-0-13-348039-9,2025-06-23,2025-07-15,BR007
TXN000313,M98930,978-1-223-95590-2,2025-03-11,2025-03-13,BR009
TXN000314,M38903,978-0-937842-70-6,2023-12-18,,BR010
TXN000315,M36794,978-0-08-705932-0,2024-06-19,2024-07-14,BR004
TXN000316,M43491,978-1-00-292185-2,2025-09-15,,BR002
TXN000317,M66446,978-1-915452-26-9,2025-05-14,2025-05-22,BR007
TXN000318,M75570,978-1-289-53926-9,2024-05-25,2024-05-28,BR011
TXN000319,M62044,978-0-209-69029-5,2024-06-02,2024-06-17,BR001
TXN000320,M20205,978-0-7251-3552-2,2025-01-21,2025-02-03,BR010
TXN000321,M93904,978-1-70433-154-6,2025-05-11,2025-05-22,BR002
TXN000322,M32527,978-0-676-26765-5,2024-11-16,2024-12-09,BR010
TXN000323,M57428,978-1-932710-40-3,06/02/2024,2024-06-16,BR014
TXN000324,M87184,978-0-526-21815-8,2024-12-21,2024-12-31,BR002
TXN000325,M54500,978-0-629-62015-5,2024-03-12,2024-03-29,BR013
TXN000326,M92998,978-1-884443-10-7,2024-07-27,2024-08-21,BR009
TXN000327,M55793,978-0-05-061497-6,2024-03-07,2024-03-12,BR014
TXN000328,M40968,978-0-241-71467-6,2024-10-05,2024-10-25,BR005
TXN000329,M30036,978-0-86256-527-5,2023-11-15,,BR011
TXN000330,,978-1-4349-0211-5,2025-02-13,2025-03-04,BR013
TXN000331,M68838,978-0-8068-6879-0,2025-07-19,2025-08-09,BR015
TXN000332,M91857,978-1-160-89899-7,2024-01-29,2024-02-13,BR011
TXN000333,M18950,978-0-233-20616-5,2024-03-09,2024-03-18,BR011
TXN000334,M87518,978-1-5116-8685-3,2025-07-01,,BR009
TXN000335,M70521,978-0-9986162-2-3,2024-12-01,2024-12-11,BR001
TXN000336,M20057,978-0-914856-46-7,2025-02-03,,BR014
TXN000337,M87867,978-0-246-29960-4,07/29/2024,2024-08-24,BR008
TXN000338,M15376,978-0-07-450544-1,2024-05-05,2024-05-12,BR013
TXN000339,M52143,978-0-324-75469-8,2025-01-27,2025-01-29,BR009
TXN000340,M69050,978-1-367-85082-8,2023-11-30,2023-12-23,BR015
TXN000341,M21053,978-0-89023-303-0,2023-11-07,,BR003
TXN000342,M67377,978-1-345-78610-1,2024-04-07,2024-04-13,BR009
TXN000343,M57696,978-1-279-85524-9,2025-04-13,2025-05-08,BR005
TXN000344,M54350,978-1-06-029333-5,2025-02-20,2025-03-13,BR001
TXN000345,M53863,978-1-80072-290-3,2024-03-25,2024-04-07,BR002
TXN000346,M47243,978-1-66574-374-7,02/20/2025,2025-03-22,BR014
TXN000347,M88997,978-0-08-589944-7,2025-02-25,,BR006
TXN000348,M96980,978-0-545-44432-3,26/10/2024,2024-11-16,BR006
TXN000349,M96787,978-0-9652074-4-7,06/08/2025,2025-08-09,BR010
TXN000350,M50577,978-1-09-935387-1,2025-08-06,2025-09-02,BR011
TXN000351,M26750,978-1-282-41724-3,03/27/2025,2025-04-18,BR014
TXN000352,M78995,978-1-135-34655-3,2024-04-21,2024-05-03,BR011
TXN000353,M12389,978-1-170-99917-2,2025-07-25,2025-08-05,BR003
TXN000354,M73736,978-1-84602-235-7,2024-08-08,2024-08-18,BR003
TXN000355,M23256,978-0-521-75250-3,2023-10-17,2023-11-15,BR009
TXN000356,M79013,,2024-04-30,2024-05-20,BR006
TXN000357,M27176,978-0-7129-6666-5,2025-09-18,2025-10-15,BR003
TXN000358,M91885,978-0-08-350583-8,2023-10-27,2023-10-29,BR003
TXN000359,M63852,978-0-354-21689-0,2024-05-24,2024-06-08,BR012
TXN000360,M90031,978-0-447-89856-9,2025-07-24,2025-08-01,BR012
TXN000361,M79993,978-1-75326-033-0,2025-03-28,2025-04-26,BR013
TXN000362,M35430,978-0-09-821506-7,2025-07-15,2025-07-30,BR010
